Year,Teams,Games
1947,11,61
1948,8,48
1949,12,60
1950,17,68
1951,11,69
1952,10,66
1953,10,71
1954,9,72
1955,9,72
1956,8,72
1957,8,72
1958,8,72
1959,8,72
1960,8,75
1961,8,79
1962,9,80
1963,9,80
1964,9,80
1965,9,80
1966,9,80
1967,10,81
1968,12,82
1969,14,82
1970,14,82
1971,17,82
1972,17,82
1973,17,82
1974,17,82
1975,18,82
1976,18,82
1977,22,82
1978,22,82
1979,22,82
1980,22,82
1981,23,82
1982,23,82
1983,23,82
1984,23,82
1985,23,82
1986,23,82
1987,23,82
1988,23,82
1989,25,82
1990,27,82
1991,27,82
1992,27,82
1993,27,82
1994,27,82
1995,27,82
1996,29,82
1997,29,82
1998,29,82
1999,29,50
2000,29,82
2001,29,82
2002,29,82
2003,29,82
2004,29,82
2005,30,82
2006,30,82
2007,30,82
2008,30,82
2009,30,82
2010,30,82
2011,30,82
2012,30,66
2013,30,82
2014,30,82
2015,30,82
2016,30,82
2017,30,82
2018,30,82
2019,30,82
